,Unnamed: 0,job_title,company,job_location,country,location_type,skills,job_link,employment_type
17,17,Lead Data Scientist,Anblicks,"Hyderabad, Telangana",India,Domestic,"['Apache Cassandra', 'Big Data', 'Apache Spark', 'Machine Learning', 'Business Intelligence', 'Application Programming Interface (API)', 'Deep Learning', 'Apache Hadoop', 'Artificial Intelligence']",https://www.indeed.co.in/rc/clk?jk=76f7dfd842ca8221&fccid=e0efd5c38293090b&vjs=3,Full-time
18,18,Data Analyst - GTM Analytics,Thomson Reuters,"Bengaluru, Karnataka",India,Domestic,"['Sales', 'Machine Learning', 'Data Visualization', 'Communication', 'Application Programming Interface (API)', 'Presentations', 'Tableau (Business Intelligence Software)', 'Research', 'JavaScript (Programming Language)', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=964751e5df2e8352&fccid=f4c6ed63cbcfdc0d&vjs=3,Part-time
19,19,"Assistant Professor CSE, IT, AI ML, Data science",GEM Techsoft Private limited,"Hyderabad, Telangana",India,Domestic,"['JavaScript (Programming Language)', 'Program Development']",https://www.indeed.co.in/company/GEM-Techsoft-Private-limited/jobs/Assistant-Professor-Cse-9d8547037d0f16be?fccid=6c5cd5390cb0ebd6&vjs=3,Full-time
20,20,Associate Manager - Product Analytics,Tredence,India,India,Domestic,"['Google Analytics', 'Big Data', 'Machine Learning', 'Data Visualization', 'A/B Testing', 'Communication', 'Git (Version Control System)', 'Data Mining', 'JavaScript (Programming Language)', 'Command-Line Interface']",https://www.indeed.co.in/rc/clk?jk=412ba19307fa9beb&fccid=d09878b895240545&vjs=3,Full-time
21,21,"Staff Machine Learning Engineer ,AI as Services",Visa,"Bengaluru, Karnataka",India,Domestic,"['Big Data', 'Statistical Modeling', 'Data Mining', 'Apache Hadoop', 'SQL (Programming Language)', 'Grafana', 'Prometheus (Software)', 'Docker (Software)', 'Machine Learning', 'Git (Version Control System)', 'CI/CD', 'Command-Line Interface', 'Jenkins', 'Kubernetes', 'Network Address Translation', 'Redis', 'Decision Tree Learning', 'Apache Spark', 'Leadership', 'Business Acumen']",https://www.indeed.co.in/rc/clk?jk=cb930c7796039a23&fccid=a3f737e511d9fc8c&vjs=3,Temporary
22,22,Analytics & Reporting Specialist,Nokia,"Chennai, Tamil Nadu",India,Domestic,"['Business Intelligence', 'Automation', 'Communication', 'Git (Version Control System)', 'Leadership', 'JavaScript (Programming Language)', 'Performance Management', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=ad32878674fb31b8&fccid=3444e7c94299ba32&vjs=3,Contract
23,23,Member Of Technical Staff -Machine Learning,ThoughtSpot,"Bengaluru, Karnataka",India,Domestic,"['Elasticsearch', 'Critical Thinking', 'Apache Spark', 'Machine Learning', 'Business Intelligence', 'Software As A Service (SaaS)', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=28a3f509279389ea&fccid=076e688f7e0c7c37&vjs=3,Full-time
24,24,Analytics Manager - Data Science,Accenture,"Noida, Uttar Pradesh",India,Domestic,"['Guest Relations', 'CompTIA Security+', 'Machine Learning', 'Statistical Analysis', 'Git (Version Control System)', 'Interpersonal Communications', 'Artificial Intelligence', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=98f6e013cb27d629&fccid=a4e4e2eaf26690c9&vjs=3,Full-time
25,25,BIG DATA ( ANALYTICS AND DATA SCIENCE ) - BIG DATA - SNOWFLAKE,Zensar Technologies,"Pune, Maharashtra",India,Domestic,"['Extract Transform Load (ETL)', 'Big Data']",https://www.indeed.co.in/rc/clk?jk=fe69541c35343f9f&fccid=e223a70f4b467dcd&vjs=3,Part-time
26,26,Senior Associate - Business Analysis,Capital One,"Bengaluru, Karnataka",India,Domestic,"['Decision Tree Learning', 'Statistical Modeling', 'Machine Learning', 'Data Analysis', 'Analytical Skills', 'Performance Appraisal', 'Behavior-Driven Development', 'Risk Management', 'Communication', 'Application Programming Interface (API)', 'Interpersonal Communications', 'Deep Learning', 'Research', 'Predictive Modeling']",https://www.indeed.co.in/rc/clk?jk=a09f859fb4525185&fccid=b85c5070c3d3d8c8&vjs=3,Part-time
27,27,USPBA Digital Analytics C11,Citi,"Bengaluru, Karnataka",India,Domestic,"['Big Data', 'Graphical User Interface', 'Customer Retention', 'Natural Language Processing (NLP)', 'Machine Learning', 'Data Analysis', 'Analytical Skills', 'Predictive Modeling', 'Project Management', 'Communication', 'Git (Version Control System)', 'Interpersonal Communications', 'Deep Learning', 'Apache Hadoop', 'Statistical Hypothesis Testing', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=841d8704dedfad56&fccid=5bcd1ef0a7f4fb99&vjs=3,Full-time
28,28,Data Scientist_NLP_3-9 years,Fractal Analytics,"Bengaluru, Karnataka",India,Domestic,"['Sales', 'Stakeholder Management', 'Machine Learning', 'Statistical Analysis', 'Command-Line Interface', 'Deep Learning', 'Project Management', 'PyTorch (Machine Learning Library)', 'Leadership', 'Business Acumen', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=bbe5828d8f719050&fccid=82a5852c691fe3de&vjs=3,Part-time
29,29,Associate Manager Data Science,MSD,"Pune, Maharashtra",India,Domestic,"['Sales', 'Machine Learning', 'Data Visualization', 'Statistical Analysis', 'Creativity', 'Business Development', 'Communication', 'Git (Version Control System)', 'Descriptive Statistics', 'JavaScript (Programming Language)', 'Graphical User Interface', 'Empathy', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=fcc248aad08c0057&fccid=3c0bf511b4a29309&vjs=3,Contract
30,30,Con/Sr.con- Data Scientist-Mumbai- Immediate Joiners,EY,"Chennai, Tamil Nadu",India,Domestic,"['Regulatory Compliance', 'Communication', 'Application Programming Interface (API)', 'Git (Version Control System)', 'Service Level Management', 'JavaScript (Programming Language)', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=f72acb5562c166ba&fccid=1544766d4c2915b0&vjs=3,Internship
31,31,Lead Data Scientist,Siemens,"Bengaluru, Karnataka",India,Domestic,"['Pandas (Python Package)', 'Docker (Software)', 'Machine Learning', 'Deep Learning', 'Git (Version Control System)', 'Security Information And Event Management (SIEM)', 'PyTorch (Machine Learning Library)', 'Research', 'Network Address Translation', 'Command-Line Interface', 'Internet Of Things (IoT)', 'Version Control']",https://www.indeed.co.in/rc/clk?jk=edacd95c5dfd11d3&fccid=ea6bb53f0b18b8f2&vjs=3,Part-time
32,32,Data Scientist,AIEnterprise,"Bengaluru, Karnataka",India,Domestic,"['Feature Engineering', 'Network Address Translation', 'JavaScript (Programming Language)', 'Apache Spark']",https://www.indeed.co.in/rc/clk?jk=7c1d8de2025a7974&fccid=89fc9bfba1bf23b7&vjs=3,Full-time
33,33,Data Science Engineer,Emerson,"Pune, Maharashtra",India,Domestic,"['Decision Tree Learning', 'Artificial Neural Networks', 'Pandas (Python Package)', 'Docker (Software)', 'Natural Language Processing (NLP)', 'Machine Learning', 'Data Analysis', 'CI/CD', 'Microservices', 'Jenkins', 'Git (Version Control System)', 'Application Programming Interface (API)', 'Reinforcement Learning', 'Kubernetes', 'Network Address Translation', 'Graphical User Interface', 'Supervised Learning']",https://www.indeed.co.in/rc/clk?jk=1336f2ba99b7aa51&fccid=c3d73a6fd53e8543&vjs=3,Contract
34,34,Staff Data Scientist,GE Healthcare,"Bengaluru, Karnataka",India,Domestic,"['Computer Vision', 'Critical Thinking', 'Natural Language Processing (NLP)', 'Machine Learning', 'Communication', 'Git (Version Control System)', 'Deep Learning', 'Leadership', 'Artificial Intelligence', 'Command-Line Interface', 'Internet Of Things (IoT)', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=df9d1e2db4763607&fccid=65b5f2aba4dbd31f&vjs=3,Part-time
35,35,Associate Data scientist,Shell,"Chennai, Tamil Nadu",India,Domestic,"['JavaScript (Programming Language)', 'Graphical User Interface']",https://www.indeed.co.in/rc/clk?jk=de3415a00b0b214e&fccid=167aa4ca2fe7d8e6&vjs=3,Internship
36,36,Data Scientist,Zensar Technologies,"Bengaluru, Karnataka",India,Domestic,"['Big Data', 'Business Intelligence', 'Statistical Analysis', 'Risk Management', 'Data Warehousing', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=ee885721d36d2857&fccid=e223a70f4b467dcd&vjs=3,Part-time
37,37,Data Science Specialist,Diageo,"Bengaluru, Karnataka",India,Domestic,['JavaScript (Programming Language)'],https://www.indeed.co.in/rc/clk?jk=648871636c3c417c&fccid=942d238ea16c5cd0&vjs=3,Contract
38,38,"Data Analytics Instructor Lead- Full Time, Temporary",Adecco Group,Uttar Pradesh,India,Domestic,"['Power BI', 'Product Management', 'Git (Version Control System)', 'JavaScript (Programming Language)', 'Graphical User Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=faa7fcf2e9ea8607&fccid=0d511cbaa452dbfb&vjs=3,Contract
39,39,"Big Data Engineer, Data Modeling",data.ai,"Hyderabad, Telangana",India,Domestic,"['PySpark', 'Big Data', 'Pandas (Python Package)', 'Apache Spark', 'Machine Learning', 'Data Pipelines', 'Artificial Intelligence', 'Automation', 'Linux', 'Communication', 'Git (Version Control System)', 'Data Mining', 'JavaScript (Programming Language)', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=9678adc7ebe874e4&fccid=6a918ba2c69a0390&vjs=3,Part-time
40,40,Technical Product Manager: Reporting & BI,Accurate Background,"Hyderabad, Telangana",India,Domestic,"['Extract Transform Load (ETL)', 'Graphical User Interface', 'Business Intelligence', 'Data Visualization', 'Product Management', 'Communication', 'Data Mining', 'Service Level Management', 'Data Governance', 'Leadership', 'JavaScript (Programming Language)', 'Command-Line Interface']",https://www.indeed.co.in/rc/clk?jk=78a1aa98c892a9a5&fccid=02d66caeebd0337f&vjs=3,Temporary
41,41,Engineer / Sr.Engineer - AWS Analytics,Aspire Systems,"Chennai, Tamil Nadu",India,Domestic,"['Machine Learning', 'Data Visualization', 'Git (Version Control System)', 'Deep Learning', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=c38b0a0c14c33b00&fccid=d39a1724952b0584&vjs=3,Internship
42,42,Principal Data Scientist,Agilon Health,India,India,Domestic,"['Deep Learning', 'Machine Learning', 'Command-Line Interface', 'MLOps (Machine Learning Operations)']",https://www.indeed.co.in/rc/clk?jk=1e135500d789b374&fccid=5cd649df8329d3dc&vjs=3,Contract
43,43,Data Science Consultant,IBM,"Bengaluru, Karnataka",India,Domestic,"['CompTIA Security+', 'Graphical User Interface', 'Amazon Web Services', 'Hybrid Cloud Computing', 'Docker (Software)', 'CI/CD', 'Software As A Service (SaaS)', 'Command-Line Interface', 'Application Programming Interface (API)', 'Google Cloud Platform (GCP)', 'Software Development Life Cycle', 'Artificial Intelligence', 'Kubernetes', 'Quantum Computing', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=6d6288fafa4a4a21&fccid=de71a49b535e21cb&vjs=3,Part-time
44,44,Machine Learning Data Engineer,Pattern,"Baner, Pune, Maharashtra",India,Domestic,"['Machine Learning', 'Data Pipelines', 'Version Control']",https://www.indeed.co.in/rc/clk?jk=5bfb57086151ad92&fccid=d21211925975a32a&vjs=3,Temporary
45,45,Sr. Data Scientist,Bosch Group,"Bengaluru, Karnataka",India,Domestic,"['Decision Tree Learning', 'Statistical Modeling', 'Machine Learning', 'Data Visualization', 'MLOps (Machine Learning Operations)', 'Data Mining', 'Deep Learning', 'Support Vector Machine', 'Microservices']",https://www.indeed.co.in/rc/clk?jk=e8503af8e5af6eb2&fccid=a2faf1301ac6ad4b&vjs=3,Temporary
46,46,Data Science Strategic Analytics-Associate,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",India,Domestic,"['Google Analytics', 'Artificial Neural Networks', 'Pandas (Python Package)', 'Apache Spark', 'Machine Learning', 'Business Intelligence', 'A/B Testing', 'Creativity', 'NumPy (Python Package)', 'Tableau (Business Intelligence Software)', 'Data Mining', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=b33034317a91f580&fccid=c46d0116f6e69eae&vjs=3,Contract
47,47,Data Scientist,infoanalytica,"Ahmedabad, Gujarat",India,Domestic,"['Apache Cassandra', 'Artificial Neural Networks', 'Machine Learning', 'Business Intelligence', 'Data Visualization', 'Statistical Analysis', 'NoSQL', 'Marketing', 'Tableau (Business Intelligence Software)', 'Data Mining', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=df5937064fb78fc8&fccid=9d18b54fe7e68641&vjs=3,Part-time
48,48,Data Scientist,Shell,"Chennai, Tamil Nadu",India,Domestic,"['Computer-Aided Design', 'Stakeholder Management']",https://www.indeed.co.in/rc/clk?jk=0fad7f021efa2f93&fccid=167aa4ca2fe7d8e6&vjs=3,Temporary
49,49,Machine Learning Analyst,XL Catlin,"Gurgaon, Haryana",India,Domestic,"['Decision Tree Learning', 'Machine Learning', 'Data Analysis', 'Communication', 'Application Programming Interface (API)', 'Data Mining', 'Network Address Translation', 'JavaScript (Programming Language)', 'Command-Line Interface', 'Exploratory Data Analysis']",https://www.indeed.co.in/rc/clk?jk=54d8f72bdb7a2d4a&fccid=29e4aa7e4c4a93db&vjs=3,Part-time
50,50,Applied Data Scientist,Tesco,"Bengaluru, Karnataka",India,Domestic,"['Big Data', 'Communication', 'JavaScript (Programming Language)', 'Git (Version Control System)', 'Service Level Management', 'Statistical Hypothesis Testing', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=ba5c4e888cfa0140&fccid=e7de5238ae83770d&vjs=3,Full-time
51,51,AI Developer/Team Lead,Dexndot Technologies,"Kochi, Kerala",India,Domestic,"['Statistical Analysis', 'Application Programming Interface (API)', 'Network Address Translation']",https://www.indeed.co.in/company/Dexndot-Technologies/jobs/Ai-Developer-Team-Lead-b2b9aa710ae5b68a?fccid=04ff78e03ad5fa67&vjs=3,Contract
52,52,Machine Learning Engineer,Appstane Technologies,"Surat, Gujarat",India,Domestic,"['Scikit-Learn (Python Package)', 'Machine Learning', 'Communication', 'Software Architecture', 'PyTorch (Machine Learning Library)']",https://www.indeed.co.in/company/Appstane-Technologies/jobs/Machine-Learning-Engineer-ead078157ecc22bf?fccid=3b6915b7af123b9d&vjs=3,Full-time
53,53,Sr. Manager - HR & Corporate Functions Data Analytics Solution Delivery,Pfizer,"Chennai, Tamil Nadu",India,Domestic,"['Big Data', 'JavaScript (Programming Language)', 'Data Warehousing', 'Version Control', 'Docker (Software)', 'Information Privacy', 'Data Pipelines', 'Machine Learning', 'Data Visualization', 'Git (Version Control System)', 'Tableau (Business Intelligence Software)', 'Graphical User Interface', 'Command-Line Interface', 'Serverless Computing', 'CI/CD', 'Guest Relations', 'Extract Transform Load (ETL)', 'Apache Subversion', 'Jenkins', 'Communication', 'Application Programming Interface (API)', 'Data Integration', 'Service Level Management', 'Project Management', 'Artificial Intelligence', 'Network Address Translation', 'Apache Spark', 'Business Intelligence', 'Software As A Service (SaaS)', 'Metadata Management', 'Leadership']",https://www.indeed.co.in/rc/clk?jk=8343d88635ab68aa&fccid=7ff126af0cd3d93b&vjs=3,Internship
54,54,Machine Learning Engineer,Revolo InfoTech,"Mumbai, Maharashtra",India,Domestic,"['Big Data', 'Apache Spark', 'Machine Learning', 'Docker (Software)', 'Analytical Skills', 'MLOps (Machine Learning Operations)', 'Containerization', 'Communication', 'Git (Version Control System)', 'Interpersonal Communications', 'Apache Hadoop', 'Kubernetes', 'JavaScript (Programming Language)', 'CI/CD', 'Data Warehousing', 'Version Control']",https://www.indeed.co.in/company/Revolo-Infotech/jobs/Machine-Learning-Engineer-d6a9445dca6529ca?fccid=3f0dcf4317f40ce9&vjs=3,Full-time
55,55,Sr Machine Learning Engineer,ServiceNow,"Hyderabad, Telangana",India,Domestic,"['JavaScript (Programming Language)', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=f67a3fa5cfb71cd8&fccid=7442885bc0fa7c14&vjs=3,Contract
56,56,HP eCommerce Pricing Analytics Lead,HP,"Bengaluru, Karnataka",India,Domestic,"['Process Improvement', 'Sales', 'Big Data', 'Graphical User Interface', 'Machine Learning', 'Computer-Aided Design', 'Data Visualization', 'Profit And Loss (P&L) Management', 'Feature Engineering', 'Service Level Management', 'Project Management', 'JavaScript (Programming Language)', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=6fbe4029e9ec1937&fccid=c8eabfdb4fcf2d28&vjs=3,Full-time
57,57,Data Scientist III,SmartShift Logistics Solutions,"Bengaluru, Karnataka",India,Domestic,"['Pandas (Python Package)', 'MATLAB', 'Machine Learning', 'Deep Learning', 'Application Programming Interface (API)', 'PyTorch (Machine Learning Library)']",https://www.indeed.co.in/rc/clk?jk=d3302242c2a7cfc1&fccid=2d9901aaef38c7bb&vjs=3,Contract
58,58,Regional Senior Data Analytics Engineer,Ninja Van,"Hyderabad, Telangana",India,Domestic,"['PySpark', 'Stakeholder Management', 'Apache Spark', 'Data Analysis', 'Git (Version Control System)', 'Data Warehousing']",https://www.indeed.co.in/rc/clk?jk=bed24a4f2e71feca&fccid=723bf672358626e9&vjs=3,Full-time
59,59,Business Analyst - Data Science,Genpact,"Hyderabad, Telangana",India,Domestic,"['Process Improvement', 'Big Data', 'Extract Transform Load (ETL)', 'Analytical Skills', 'Data Analysis', 'Communication', 'Git (Version Control System)', 'Data Mining', 'Leadership', 'JavaScript (Programming Language)', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=be1dd711404ed6a3&fccid=afe30394bfba1470&vjs=3,Full-time
60,60,Engineer III - Big Data - Hive/Pyspark,Amex,"Gurgaon, Haryana",India,Domestic,"['Big Data', 'Apache Hadoop', 'JavaScript (Programming Language)', 'Data Warehousing', 'PySpark', 'Shell Script', 'Data Pipelines', 'Git (Version Control System)', 'CI/CD', 'Automation', 'Communication', 'Application Programming Interface (API)', 'Test Automation', 'Project Management', 'Teamwork', 'Network Address Translation', 'Apache Spark', 'NoSQL', 'Apache HBase', 'Leadership']",https://www.indeed.co.in/rc/clk?jk=709d7a184fcfe323&fccid=f057e04c37cca134&vjs=3,Temporary
61,61,Assistant Vice President - Senior Data Scientist,Genpact,"Bengaluru, Karnataka",India,Domestic,"['Sales', 'Big Data', 'Machine Learning', 'Git (Version Control System)', 'Service Level Management', 'Interpersonal Communications', 'JavaScript (Programming Language)', 'Command-Line Interface', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=fe1c7fa1b13f4e84&fccid=afe30394bfba1470&vjs=3,Full-time
62,62,Data Scientist Bangalore,Prescience,"Bengaluru, Karnataka",India,Domestic,"['Computer Vision', 'Natural Language Processing (NLP)', 'Machine Learning', 'NoSQL', 'Command-Line Interface', 'Predictive Analytics', 'Graphical User Interface', 'Teamwork', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=136178f67b7632db&fccid=5e106b66f8fc57d8&vjs=3,Part-time
63,63,Data Scientist - Associate,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",India,Domestic,"['CompTIA Security+', 'Big Data', 'Machine Learning', 'A/B Testing', 'Command-Line Interface', 'Deep Learning', 'Data Security', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=07aff024b1c6f07b&fccid=c46d0116f6e69eae&vjs=3,Contract
64,64,Computer Vision Research Engineer - Bangalore,Dolby,India,India,Domestic,"['Computer Vision', 'MATLAB', 'Natural Language Processing (NLP)', 'Computer-Aided Design', 'Machine Learning', 'Communication', 'Deep Learning', 'Git (Version Control System)', 'PyTorch (Machine Learning Library)', 'Research', 'Network Address Translation', 'JavaScript (Programming Language)', 'Graphical User Interface', 'Internet Of Things (IoT)', 'Digital Signal Processing']",https://www.indeed.co.in/rc/clk?jk=bf1cf6b13acad6c8&fccid=5dd80d97ea739284&vjs=3,Temporary
65,65,India Market Unit - Data Science - Utilities - Consultant,Accenture,"Bengaluru, Karnataka",India,Domestic,"['CompTIA Security+', 'Big Data', 'Machine Learning', 'Analytical Skills', 'Git (Version Control System)', 'Application Programming Interface (API)', 'Predictive Analytics', 'Command-Line Interface', 'Random Forest Algorithm', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=b7281251970f379a&fccid=a4e4e2eaf26690c9&vjs=3,Temporary
66,66,Deputy Manager-Aftermarket and Service (Data Science)),Pratt & Whitney,"Bengaluru, Karnataka",India,Domestic,"['PySpark', 'Decision Tree Learning', 'Machine Learning', 'Adaptability', 'Analytical Skills', 'Data Visualization', 'Predictive Modeling', 'Customer Service', 'Teamwork', 'Git (Version Control System)', 'Data Mining', 'Apache Hadoop', 'JavaScript (Programming Language)', 'Command-Line Interface', 'Random Forest Algorithm', 'Network Address Translation']",https://www.indeed.co.in/rc/clk?jk=054bd5a174324b0b&fccid=54fab6b8f8edafb5&vjs=3,Part-time
